case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,398,10,398,10,0.5154389120505334,3.9940630895229144e-12,0.3463752262115218,5.418038847901753e-12,398
bfwa62,62,6,62,6,0.00010294432225040761,4.694946638205096e-11,6.34916746394012e-5,1.1033940026685163e-11,62
bfwa782,782,11,782,11,0.0002984701227471125,1.3149063214577433e-11,0.006410736759610524,9.255042121467204e-12,782
bwm200,200,9,200,9,0.01037597838133224,5.7751677386213064e-11,0.0007689633883646252,5.966037325523477e-13,200
bwm2000,2000,24,2000,23,0.1950868261673732,1.0548306003658543e-9,0.03492219382845412,7.967171005163042e-13,2000
cdde1,961,13,961,13,1.5427146496242544e-8,6.791947502958611e-12,1.542870250105821e-8,3.889340070788941e-12,961
cdde2,306,5,306,5,1.6468082821958498e-9,5.192867191802107e-12,1.6468083459366743e-9,2.029531863627951e-12,961
cdde3,961,12,961,12,0.9193462786501405,7.810693802034667e-11,0.9199685783489819,5.3039567551620365e-11,961
cdde4,401,5,401,5,1.6383512755310208e-9,8.320444381510657e-12,1.6383504151355692e-9,3.0314520898782634e-12,961
cdde5,961,10,961,10,4.396702101655602,2.2930359562106904e-11,4.396702101626513,5.2985810135708687e-11,961
cdde6,961,5,961,5,15.165598178322705,3.525522218889846e-11,15.165598178322707,1.231099184080648e-11,961
ck104,104,8,104,8,0.00022778735977276414,2.000204643349986e-11,2.5278262264895437e-5,9.050091679587827e-12,104
ck400,400,12,400,11,1.9257201427439856,1.2867186164107571e-11,0.2437025891544917,1.0451156270283823e-11,400
ck656,656,13,656,12,1.9309463337031947,6.065916239678009e-11,0.3155556764206745,1.3916146934585413e-11,656
dw1024,2048,7,2048,7,0.006691626084297755,4.5739730210964655e-12,0.044338156577334045,3.8916156166343624e-12,2048
dw256A,512,8,512,8,0.4189881504667746,2.8351540434895977e-10,1.3032761082885589,1.1318660428562537e-9,512
dw256B,11,4,11,4,1.6183597349797504e-9,2.714469455723063e-12,1.2404992465032734e-9,3.5088802136973912e-12,512
dw4096,8192,8192,8192,8192,8.921711178359285,2.286064353796726e31,7.453645288420032,1.557593781633305e90,8192
lop163,163,6,163,6,0.960446456755579,2.7731856114547927e-10,0.8371346742749489,5.472220786486168e-10,163
mhda416,416,416,416,416,2619.0745098305774,NaN,2153.519661910881,NaN,416
odepa400,400,1,400,1,13.57191504628545,1.3423408847222122e-10,13.598598632962497,1.1018932904853181e-10,400
olm100,100,1,100,1,0.134142364402929,9.0221452849805e-14,3.1345647017213887,1.6098999300555292e-13,100
olm1000,1000,23,1000,23,0.7215544562257155,1.352451435877648e-10,29.707012748873975,2.374645524761109e-10,1000
olm2000,2000,25,2000,25,0.5445119577015396,1.1064785801609656e-9,42.104271165957144,1.805768487225911e-9,2000
olm500,500,2,500,2,0.6984044088619347,6.54315488017101e-12,20.676129882785634,8.334316070093106e-12,500
olm5000,5000,25,5000,25,0.35071904441855173,8.307544782164262e-9,66.7014679273792,1.1939039100775162e-8,5000
pde225,135,5,113,5,7.451732300500919e-10,2.9714307409266793e-12,7.184706949008049e-10,3.0030902280795603e-13,225
