case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,151,10,167,10,1.2804221196522276e-9,4.579283233907817e-12,3.7544946203657766e-10,4.213704819433149e-12,398
bfwa62,52,6,52,6,1.454633724074308e-10,5.115658579249449e-11,2.2916381684187482e-10,1.4440303676041429e-11,62
bfwa782,326,12,2000,12,1.1556619985328258e-8,4.822842733814534e-12,7.3009756190644065e-6,3.015502598136896e-12,782
bwm200,100,10,100,9,8.268384065894626e-13,6.047875964417629e-12,6.386526589108584e-13,6.324596274727271e-13,200
bwm2000,1065,32,1066,32,7.896300626943661e-10,1.4982234243243042e-9,4.989355142545193e-10,3.506278676184768e-11,2000
cdde1,173,15,173,15,9.70659681740552e-10,7.60984675510715e-12,9.783317262285007e-10,4.422621995288014e-12,961
cdde2,109,5,110,5,1.4991726468130693e-8,7.555719525043594e-12,5.3076889924239875e-8,3.3500188326988135e-12,961
cdde3,203,14,201,13,6.239064924151819e-10,5.74913273697021e-11,7.038931770773867e-10,9.069158768010544e-11,961
cdde4,112,5,111,5,2.7351814391758064e-8,1.2587018101094387e-11,7.110217030710282e-8,5.411732800187657e-12,961
cdde5,424,11,406,11,2.1449604886099853e-9,2.6912911785875644e-11,1.6707786050161947e-9,3.318662326706534e-11,961
cdde6,126,5,127,5,1.478041733133399e-7,5.865960713763136e-11,1.4830288055535984e-7,2.813270610315453e-11,961
ck104,112,9,112,9,7.721618978033491e-10,4.4424561273262455e-13,8.037740625295669e-11,3.987493852787e-13,104
ck400,420,12,412,12,9.728076546189107e-8,1.726611976558017e-11,3.1553522796775787e-9,5.498222829415148e-13,400
ck656,604,15,603,14,1.7211476886065894e-8,9.87680339378559e-11,2.3110090992039896e-9,1.4980656658459858e-12,656
dw1024,1906,7,1868,7,6.704394617998389e-9,3.5949350659722966e-12,6.870551393421272e-9,5.862230098265692e-12,2048
dw256A,1194,8,807,8,7.735104383034602e-7,2.254140446736658e-10,7.022761298085097e-7,8.455015066552012e-11,512
dw256B,12,4,11,4,1.927149509758419e-9,2.712321161833215e-12,2.0116748737527455e-9,3.522595757068276e-12,512
dw4096,2000,1130,2000,956,4.74647571319187e7,471.7991960409122,6.1541625724788215e6,14966.700940910696,8192
lop163,200,6,254,6,9.295431578829914e-10,4.505028453122143e-10,1.047729678041654e-8,6.397426873589891e-10,163
mhda416,2000,2000,2000,2000,4.3550782436900325e7,NaN,3.2405194125128055e8,NaN,416
odepa400,801,2,1135,2,3.066296535973425e-7,1.8137711737229841e-10,6.16184867543953e-8,1.2506975707135505e-10,400
olm100,2000,1,2000,1,1679.7228853827642,1.351542300709506e-13,783.8792438486199,2.3608621640484385e-13,100
olm1000,79,38,70,38,3.0539375872935738e10,1.163076239836223e-9,1.9217490335321182e10,1.320479171313194e-8,1000
olm2000,103,48,106,42,4.469980142000382e9,1.3475865536877043e-8,1.8742670071667435e9,9.427625290903655e-9,2000
olm500,60,2,52,2,2.1069624891099172e9,6.916336876246554e-12,9.257059094990588e8,1.03770376955323e-11,500
olm5000,1999,41,423,45,1.7948757554716702e12,1.8519202660637003e-7,3.569185561727144e10,1.1122149297253855e-7,5000
pde225,80,5,77,5,2.3577512083954873e-10,4.72833179963114e-12,5.903402479719349e-10,1.5103591187964153e-12,225
pde2961,283,11,271,10,4.1105872481313254e-8,2.7431190985875516e-12,7.707882859091334e-9,7.951307974602645e-12,2961
pde900,165,8,168,8,7.24661524521439e-7,5.770955407765559e-13,1.0987564759095351e-7,2.4349503152047855e-13,900
qh882,2000,2000,2000,2000,11167.886537133696,NaN,1075.245820101659,NaN,882
rbsa480,2000,267,2000,408,65.66324250853921,782.5120268145163,238.32012925081762,207.0646650278117,480
rbsb480,2000,1786,2000,1843,50.84562120868161,31690.86959062477,29.879696469139503,5586.99348228619,480
rdb2048,488,9,472,9,9.062143689445079e-10,1.8900174868222983e-11,9.918172000829808e-10,2.3429751825326264e-12,2048
rdb5000,416,15,359,14,1.0921129437318532e-9,7.56574545931282e-12,9.694022734916927e-10,3.3249206143446415e-13,5000
rdb968,561,8,451,7,1.3985383077905821e-9,2.600063636396403e-11,1.2155095383024842e-9,9.232015927244611e-12,968
rw136,1604,2000,2000,2000,1.8220088158061138e-9,NaN,0.0003551981121282951,NaN,136
