case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,134,10,136,10,1.0558601017045812e-9,3.9940630895229144e-12,1.0873769311215188e-9,5.418038847901753e-12,398
bfwa62,49,6,50,6,2.4143859551697226e-10,4.694946638205096e-11,3.2327028189846684e-10,1.1033940026685163e-11,62
bfwa782,216,11,221,11,1.5737560414992455e-9,1.3149063214577433e-11,1.7051211740294733e-9,9.255042121467204e-12,782
bwm200,100,9,100,9,2.781878636706536e-13,5.7751677386213064e-11,3.2633665243438296e-14,5.966037325523477e-13,200
bwm2000,1000,24,1000,23,2.5645423159297364e-11,1.0548306003658543e-9,3.760419616191972e-12,7.967171005163042e-13,2000
cdde1,150,13,150,13,1.597905721081169e-9,6.791947502958611e-12,1.5979160795397436e-9,3.889340070788941e-12,961
cdde2,76,5,76,5,1.2754742249298047e-9,5.192867191802107e-12,1.2754774813274811e-9,2.029531863627951e-12,961
cdde3,185,12,185,12,1.3085141673994428e-9,7.810693802034667e-11,1.3083291778092126e-9,5.3039567551620365e-11,961
cdde4,77,5,77,5,9.432948248483208e-10,8.320444381510657e-12,9.433061920093666e-10,3.0314520898782634e-12,961
cdde5,282,10,282,10,1.3469204885495558e-9,2.2930359562106904e-11,1.3474001946602265e-9,5.2985810135708687e-11,961
cdde6,79,5,79,5,1.6294150493146403e-9,3.525522218889846e-11,1.6294309339583554e-9,1.231099184080648e-11,961
ck104,104,8,104,8,5.722911360513992e-13,2.000204643349986e-11,1.4653440420914568e-13,9.050091679587827e-12,104
ck400,362,12,359,11,2.2494150065459822e-9,1.2867186164107571e-11,2.2292669379244935e-9,1.0451156270283823e-11,400
ck656,544,13,493,12,3.631031773309791e-9,6.065916239678009e-11,3.630068344458317e-9,1.3916146934585413e-11,656
dw1024,818,7,810,7,7.02682298292387e-9,4.5739730210964655e-12,6.872207564244083e-9,3.8916156166343624e-12,2048
dw256A,186,8,188,8,5.284959524240951e-9,2.8351540434895977e-10,1.5372465003477442e-9,1.1318660428562537e-9,512
dw256B,11,4,11,4,1.6183597349797504e-9,2.714469455723063e-12,1.2404992465032734e-9,3.5088802136973912e-12,512
dw4096,2000,118,2000,98,7.863571029099516,130.04343198743152,5.262821336862109,301.8807160663435,8192
lop163,77,6,109,6,3.0070247557493775e-10,2.7731856114547927e-10,1.7430196471117226e-9,5.472220786486168e-10,163
mhda416,399,2000,399,2000,1057.2565527668114,NaN,52.910369202757366,NaN,416
odepa400,400,1,400,1,1.0521204907662658e-9,1.3423408847222122e-10,1.0619678891828584e-9,1.1018932904853181e-10,400
olm100,50,1,50,1,7.973299682790633e-14,9.0221452849805e-14,5.448524336622409e-13,1.6098999300555292e-13,100
