case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,163,10,171,10,1.3762014785365442e-10,4.380019484808101e-12,1.41827128294614e-10,4.308981702974013e-12,398
bfwa62,56,7,59,7,2.4413773371530812e-11,1.4728019630039161e-13,4.0898985108957585e-11,1.0801657014522046e-13,62
bfwa782,348,12,2000,12,1.560539330874989e-8,4.737696533809313e-12,8.433022558987248e-6,3.0333722406807955e-12,782
bwm200,100,10,100,10,1.2657595673884942e-12,6.0249595682120525e-12,6.921449134393663e-13,3.20877855523325e-14,200
bwm2000,1409,33,1568,33,8.212263128838648e-9,1.1416881287496828e-9,2.9685642137011095e-9,3.94932319630227e-11,2000
cdde1,182,15,182,15,1.2083573829084397e-9,6.1712912062608545e-12,1.1339858652579739e-9,3.7494007116676335e-12,961
cdde2,115,5,115,5,3.0078947157399124e-8,7.540396670819038e-12,2.1458618527928228e-8,3.3559557382309786e-12,961
cdde3,238,14,238,14,4.481317561570777e-10,5.735954948268564e-11,4.0567117290267494e-10,9.003600018336063e-11,961
cdde4,118,5,119,5,2.9539450189007496e-8,1.2583855775214626e-11,5.948300198054265e-8,5.413556282951905e-12,961
cdde5,521,11,478,11,8.21202251301881e-9,2.6966906418506476e-11,7.747403568452557e-9,3.313052906037077e-11,961
cdde6,131,5,138,5,1.7246228986776817e-7,5.86574176330439e-11,6.189800153804585e-7,2.8115313935849395e-11,961
ck104,117,9,117,9,8.484368960928337e-11,4.4516428365348373e-13,7.621977905466365e-12,3.88104839252051e-13,104
ck400,468,13,460,12,1.5406600123337248e-7,1.3287615709040068e-11,1.0232723078953187e-8,5.099524739716091e-13,400
ck656,679,15,669,14,2.0976914040854974e-6,9.061190192343864e-11,4.245788907624555e-8,1.1542630924895718e-12,656
dw1024,2000,7,2000,7,1.0540056109738775e-8,3.586982207551908e-12,1.184262971218835e-9,5.830700419653021e-12,2048
dw256A,1485,8,995,8,1.3488791211887286e-6,2.254149494190721e-10,6.578565351196918e-7,8.454364887030403e-11,512
dw256B,13,4,12,4,2.3435604708626455e-10,2.712538931229865e-12,2.363920039050521e-10,3.5229940452930826e-12,512
dw4096,2000,2000,2000,2000,4.2925250408740705e6,473.1860032318095,923051.1564833379,4083.5693487746717,8192
lop163,234,6,257,7,1.8512032129316774e-9,6.493336995613194e-10,1.1814043156626552e-7,3.5799063073883916e-10,163
mhda416,2000,2000,2000,2000,475344.5448218119,NaN,23105.61068879361,NaN,416
odepa400,817,2,1173,2,0.0003133003474990254,2.039331009074502e-10,0.0003277553726393748,1.2081327473013641e-10,400
olm100,2000,1,2000,1,877.3100717611189,1.2524358969004153e-13,390.3323230820832,2.275207593990067e-13,100
olm1000,79,42,70,43,3.0539375872935375e10,1.1440541167308293e-9,1.9217490335314762e10,1.5542198706166456e-8,1000
olm2000,103,48,106,48,4.469980142000717e9,1.5586799585495207e-8,1.874267007166837e9,9.459990806470257e-9,2000
olm500,60,2,52,2,2.106962489109964e9,7.751598696897447e-12,9.257059094990386e8,9.250697295543499e-12,500
olm5000,2000,49,734,52,1.4222409455587215e10,2.0515215311390635e-7,1.0339238391093403e12,1.1034836053946684e-7,5000
pde225,84,5,81,5,3.5254683473554454e-11,4.7230193605742034e-12,7.668183297717624e-11,1.5106860515132601e-12,225
pde2961,294,11,299,11,1.8549012273834557e-7,2.3663919985843078e-12,3.491779749436962e-8,1.2505138408520427e-12,2961
pde900,175,8,179,8,2.3766484907164817e-7,5.44660536516865e-13,1.8405635017237916e-7,2.2329248628679415e-13,900
qh882,2000,2000,2000,2000,59.951979177499,NaN,12.878407750631489,NaN,882
rbsa480,2000,267,2000,408,8.388992860270122,768.9145941712926,19.112340260787107,207.07383753476023,480
rbsb480,2000,1786,2000,1907,11.67758136496459,31943.605488613186,14.319813854120362,7706.969370135426,480
rdb2048,596,10,566,9,2.826567789720238e-9,4.1672986591425234e-12,5.317247586319022e-10,2.3029748862982033e-12,2048
rdb5000,535,15,497,15,7.112915077317357e-10,7.033687737616293e-12,1.7997430108298231e-10,8.130206966978275e-14,5000
rdb968,595,9,562,8,1.0586702186013773e-9,4.428504954912929e-12,7.258028140141061e-10,3.877383053685924e-13,968
rw136,1813,2000,2000,2000,9.685938841110742e-10,NaN,4.526115570887046e-6,NaN,136
rw496,2000,370,2000,49,34.79655484443497,1.1058727517623238e13,37227.14876586385,1.0611769853021806e7,496
rw5151,2000,2000,1648,2000,14004.752998579266,NaN,1.9559151139811196e12,NaN,5151
tub100,200,9,200,7,9.657975610678002e-9,1.2512284345068292e-11,8.187058270775313e-9,1.196667845637243e-12,100
tub1000,2000,20,2000,19,0.0006304826127888551,1.7445805686966726e-8,0.0005165630840858867,2.719496910722462e-11,1000
cryg10000,2000,1171,2000,2000,1.3298955840792617e7,3.6386472679488864e6,2.1618632726817495e8,2.4085091760270603e7,10000
cryg2500,1903,116,881,114,1.0959788353010455e7,0.03195786921949013,9.547922789628038e10,0.004492689880941138,2500
dw2048,2000,7,2000,7,1.0540056109738775e-8,3.586982207551908e-12,1.184262971218835e-9,5.830700419653021e-12,2048
dw8192,2000,2000,2000,2000,4.2925250408740705e6,473.1860032318095,923051.1564833379,4083.5693487746717,8192
dwa512,1485,8,995,8,1.3488791211887286e-6,2.254149494190721e-10,6.578565351196918e-7,8.454364887030403e-11,512
dwb512,13,4,12,4,2.3435604708626455e-10,2.712538931229865e-12,2.363920039050521e-10,3.5229940452930826e-12,512
mhd3200a,2000,2000,2000,2000,1.1935998913105917e11,NaN,6.863162923730139e9,NaN,3200
mhd4800a,2000,2000,2000,2000,5.134352631681852e7,NaN,3.645240511665027e7,NaN,4800
qh1484,2000,2000,2000,2000,5.949352999235385,NaN,30.370834942109266,NaN,1484
qh768,2000,2000,2000,2000,117.91000142404708,NaN,8.093677180965718,NaN,768
rdb1250,146,10,143,9,6.084070589745086e-10,3.3539448901739863e-12,9.394613933581584e-11,1.562614204132605e-12,1250
rdb1250l,645,9,600,7,1.3706516687597204e-9,3.907443408195881e-11,3.2103418793174596e-10,4.467211242883362e-12,1250
rdb200,156,6,125,5,1.241777498192683e-8,3.0890679266374576e-12,3.908451497929069e-9,2.211860025557038e-12,200
rdb200l,57,8,42,7,7.488546532129529e-11,1.3929848436337008e-13,7.130235586711327e-11,2.2180009182165775e-12,200
rdb2048_noL,175,12,153,11,3.058280276085149e-10,9.140797830973129e-12,1.6415544053810165e-10,3.203650497153772e-13,2048
rdb3200l,582,11,587,11,6.370279776288218e-9,1.1447390013160129e-11,1.5458096153163427e-9,9.931792014970766e-14,3200
rdb450,93,7,89,7,1.8686878018644678e-10,5.6417611798787555e-12,2.785921999474376e-11,4.336635784802259e-13,450
rdb450l,121,8,102,7,4.9097272200784793e-11,1.0108471506321242e-12,9.282557421709104e-11,3.3485757773640315e-12,450
rdb800l,561,8,502,7,6.045581377117387e-9,1.0828264526837066e-12,2.13262999556708e-9,6.806027014396458e-13,800
tols1090,322,1167,319,308,5.742449412610055e-10,419.84131032443975,9.978900946724477e-10,19220.32264791711,1090
tols2000,2000,762,2000,2000,0.07975524629788694,792510.1057128257,6.661594934566337e-7,96.09213231150055,2000
tols340,179,2000,182,2000,2.071894345911327e-10,NaN,8.140936540887133e-11,NaN,340
tols4000,778,2000,461,2000,1.3004474148512735e-9,NaN,6.24509854362131e-10,NaN,4000
tols90,79,2000,114,2000,2.2438355582852688e-11,NaN,4.7423286262503466e-11,NaN,90
