bfwa398	796	796	11	30	398
bfwa62	91	91	7	22	62
bfwa782	1564	1564	13	451	782
bwm200	400	391	11	61	200
bwm2000	4000	4000	31	31	2000
cdde1	781	811	14	31	961
cdde2	271	271	6	1922	961
cdde3	1922	1922	22	31	961
cdde4	331	331	6	1922	961
cdde5	1922	1922	20	61	961
cdde6	1922	1922	6	1922	961
ck104	151	121	10	208	104
ck400	800	800	28	800	400
ck656	1312	1312	21	1312	656
dw1024	4096	4096	9	30	2048
dw256A	1024	1024	9	121	512
dw256B	18	18	5	23	512
dw4096	16384	16384	16384	16384	8192
lop163	326	326	6	326	163
mhda416	832	832	832	832	416
odepa400	800	800	1	8	400
olm100	200	200	2	200	100
olm1000	2000	2000	31	2000	1000
olm2000	4000	4000	151	4000	2000
olm500	1000	1000	31	1000	500
olm5000	10000	10000	181	10000	5000
pde225	121	91	6	450	225
pde2961	331	361	12	1351	2961
pde900	181	241	9	1501	900
qh882	1764	1764	1764	1764	882
rbsa480	960	960	25	960	480
rbsb480	960	960	960	960	480
rdb2048	4096	4096	11	4096	2048
rdb5000	10000	10000	16	10000	5000
rdb968	1936	1936	9	1936	968
rw136	272	272	9	4	136
rw496	992	992	3	1	496
rw5151	10302	10302	10302	10302	5151
tub100	200	200	8	61	100
tub1000	2000	2000	31	181	1000
cryg10000	20000	20000	20000	20000	10000
cryg2500	5000	5000	5000	5000	2500
dw2048	4096	4096	9	30	2048
dw8192	16384	16384	16384	16384	8192
dwa512	1024	1024	9	121	512
dwb512	18	18	5	23	512
mhd3200a	6400	6400	6400	6400	3200
mhd4800a	9600	9600	9600	9600	4800
qh1484	2968	2968	2968	2968	1484
qh768	1536	1536	1536	1536	768
rdb1250	2500	2500	11	2500	1250
rdb1250l	2500	2500	10	2500	1250
rdb200	31	31	7	400	200
rdb200l	31	31	10	400	200
rdb2048_noL	4096	4096	12	4096	2048
rdb3200l	6400	6400	25	6400	3200
rdb450	900	900	8	900	450
rdb450l	900	900	9	900	450
rdb800l	1600	1600	10	1600	800
tols1090	1801	2180	2180	2180	1090
tols2000	3241	4000	4000	4000	2000
tols340	601	680	1	1	340
tols4000	6451	8000	8000	8000	4000
tols90	180	180	180	180	90
